,fecha,año_hecho,calle,estado,ciudad,precio,año_renovado,metros_cuadrados,pisos,habitaciones,baños,codigo_zip
0,24/06/2019,01/01/1982,2400 WALNUT RIDGE ST,TX,DALLAS,260070.0,2016.0,762.0,1.0,4.0,2.0,75229.0
1,18/07/2019,01/01/1982,10400 BIG THICKET DR,TX,DALLAS,456280.0,2016.0,866.0,2.0,4.0,2.0,75217.0
2,31/07/2019,01/01/1982,9200 DARTWOOD LN,TX,DALLAS,237820.0,2016.0,814.0,1.0,5.0,3.0,75225.0
3,14/08/2019,01/01/1980,4800 SIMCOE ST,TX,DALLAS,231000.0,2016.0,680.0,1.0,4.0,2.0,75228.0
4,31/07/2019,01/01/1980,6926 STEFANI DR,TX,DALLAS,1410820.0,2016.0,1018.0,2.0,4.0,2.0,75225.0
5,16/07/2019,01/01/1980,7800 MATTISON ST,TX,DALLAS,740220.0,2016.0,792.0,2.0,4.0,3.0,75217.0
6,28/06/2019,01/01/1980,400 SUNNYSIDE AVE,TX,DALLAS,275830.0,2016.0,640.0,2.0,4.0,2.0,75211.0
7,27/06/2019,01/01/1980,200 KITTIWAKE CIR,TX,DALLAS,355420.0,2016.0,399.0,2.0,2.0,1.0,75211.0
8,24/07/2019,01/01/1979,11600 TUSCANY WAY,TX,DALLAS,390780.0,2016.0,503.0,1.0,3.0,2.0,75218.0
9,11/07/2019,01/01/1977,2400 51ST ST,TX,DALLAS,1152800.0,2016.0,716.0,1.0,3.0,2.0,75216.0
10,07/06/2019,01/01/1977,2901 MAGNOLIA HILL CT,TX,DALLAS,678110.0,2016.0,920.0,2.0,5.0,3.0,75201.0
11,25/07/2019,01/01/1977,9821 COUNTY CORK DR,TX,DALLAS,281880.0,2016.0,735.0,1.0,4.0,2.0,75218.0
12,20/06/2019,01/01/1977,No disponible,TX,DALLAS,225820.0,0.0,448.0,1.0,3.0,2.0,75208.0
13,07/06/2019,01/01/1977,515 ERVAY ST,TX,DALLAS,552190.0,2016.0,945.0,2.0,3.0,2.0,75216.5
14,21/07/2019,01/01/1973,444 OAK HOLLOW DR,TX,DALLAS,457280.0,2016.0,421.0,2.0,3.0,2.0,75216.5
15,10/06/2019,01/01/1972,2900 TALISMAN DR,TX,DALLAS,457650.0,0.0,655.0,2.0,3.0,2.0,75229.0
16,07/08/2019,01/01/1972,2900 VICTORIAN FOREST DR,TX,DALLAS,1078030.0,2016.0,1036.0,1.0,3.0,3.0,75227.0
17,28/07/2019,01/01/1972,2612 THE MALL,TX,DALLAS,335730.0,2016.0,418.0,2.0,4.0,2.0,75219.0
18,27/06/2019,01/01/1969,2540 BAHAMA DR,TX,DALLAS,182460.0,2016.0,335.0,1.0,3.0,1.0,75211.0
19,13/08/2019,01/01/1969,9401 DIXIE LN,TX,DALLAS,544470.0,2016.0,384.0,1.0,3.0,2.0,75228.0
20,30/07/2019,01/01/1968,1011.5 CAMERON AVE,TX,DALLAS,907040.0,2016.0,972.0,1.0,5.0,4.0,75223.0
21,31/07/2019,01/01/1968,12201 MONTEGO PLZ,TX,DALLAS,217920.0,2016.0,354.0,1.0,3.0,2.0,75230.0
22,07/07/2019,01/01/1968,6701 ALEXANDER DR,TX,DALLAS,327510.0,2016.0,436.0,1.0,3.0,2.0,75214.0
23,19/06/2019,01/01/1965,1201 MEDICAL DISTRICT DR,TX,DALLAS,543510.0,2016.0,701.0,1.0,3.0,3.0,75207.0
24,23/07/2019,01/01/1951,900 GAUSE LN,TX,DALLAS,417890.0,2016.0,460.0,1.0,3.0,2.0,75217.0
25,12/08/2019,01/01/1921,11001 MILHOF DR,TX,DALLAS,871620.0,2016.0,969.0,2.0,4.0,3.0,75228.0
26,03/07/2019,01/01/1919,4000 RANGER DR,TX,DALLAS,599860.0,2016.0,634.0,1.0,4.0,3.0,75212.0
27,10/07/2019,01/01/1907,2201 LAWRENCE ST,TX,DALLAS,876330.0,2016.0,963.0,2.0,5.0,3.0,75215.0
28,14/07/2019,01/01/1904,2001 SKYLARK DR,TX,DALLAS,436800.0,2016.0,274.0,1.0,2.0,1.0,75216.0
29,08/07/2019,01/01/1904,2700 LAWTHERWOOD CT,TX,DALLAS,442400.0,2016.0,430.0,1.0,2.0,1.0,75214.0
30,03/07/2019,01/01/1904,4201 BERNAL DR,TX,DALLAS,842790.0,2016.0,988.0,2.0,4.0,3.0,75212.0
31,27/06/2019,01/01/1984,5200 PRESTON HAVEN DR,TX,DALLAS,476090.0,2015.0,622.0,1.0,3.0,2.0,75229.0
32,14/06/2019,01/01/1982,1100 MORELAND AVE,TX,DALLAS,783880.0,2015.0,896.0,2.0,4.0,3.0,75204.0
33,18/07/2019,01/01/1982,800 WOODROCK DR,TX,DALLAS,253640.0,2015.0,634.0,1.0,4.0,3.0,75217.0
34,12/08/2019,01/01/1982,11000 PEPPERIDGE CIR,TX,DALLAS,527350.0,2015.0,960.0,1.0,6.0,4.0,75228.0
35,14/07/2019,01/01/1981,4701 NOME ST,TX,DALLAS,607580.0,2015.0,875.0,2.0,3.0,3.0,75216.0
36,02/07/2019,01/01/1981,500 BOTANY BAY DR,TX,DALLAS,399770.0,2015.0,902.0,2.0,4.0,3.0,75211.0
37,21/07/2019,01/01/1981,6201 JEANE ST,TX,DALLAS,310400.0,2015.0,369.0,1.0,3.0,2.0,75217.0
38,07/06/2019,01/01/1981,2300 LEONARD ST,TX,DALLAS,401830.0,2015.0,1180.0,2.0,4.0,3.0,75201.0
39,31/07/2019,01/01/1981,3800 MORNING DEW CIR,TX,DALLAS,222850.0,2015.0,552.0,2.0,3.0,2.0,75224.0
40,15/07/2019,01/01/1981,4101 CALDER ST,TX,DALLAS,226090.0,2015.0,567.0,1.0,3.0,2.0,75216.0
